('Cismontane Black Dawn', 'Imperial Stout', '22', '8.0', 'California')
('Cismontane Coulter IPA', 'IPA', '22', '7.2', 'California')
('Cismontane The Citizen', 'California Common', '22', '6.0', 'California')
('Cismotane Holy Jim Falls XPA', 'Pale Ale', '16', '4.5', 'California')
('Coronado 17th Anniversary Ale', 'Imperial / Double IPA', '22', '9.5', 'California')
('Coronado Idiot IPA', 'Imperial / Double IPA', '12', '8.5', 'California')
('Coronado Islander IPA', 'IPA', '12', '7.5', 'California')
('Coronado Orange Ave Wit', 'White Wheat', '12', '5.2', 'California')
('Crispin Brut', 'Cider', '12', '5.5', 'California')
('Crispin Original', 'Cider', '12', '5.0', 'California')
('Firestone Walker Double Jack IPA', 'Imperial / Double IPA', '12', '9.5', 'California')
('Firestone Walker Reserve Porter', 'Porter', '22', '5.8', 'California')
('Firestone Walker Union Jack', 'IPA', '12', '7.5', 'California')
('Fox Barrel Apricot Pear', 'Cider', '12', '5.5', 'California')
('Fox Barrel Blackberry Pear', 'Cider', '12', '5.0', 'California')
('Fox Barrel English Pear', 'Cider', '16', '5.3', 'California')
('Fox Barrel Pacific Pear', 'Cider', '12', '4.5', 'California')
('Green Flash Double Stout', 'Imperial Stout', '12', '8.8', 'California')
('Green Flash Grand Cru', 'Belgian Strong Dark Ale', '12', '9.0', 'California')
('Green Flash Hop Head Red', 'Amber / Red Ale', '12', '6.0', 'California')
('Green Flash Imperial IPA', 'Imperial / Double IPA', '22', '9.4', 'California')
('Green Flash Palate Wrecker', 'Imperial / Double IPA', '22', '9.5', 'California')
('Green Flash Rayon Vert', 'Pale Ale', '12', '7.0', 'California')
('Green Flash Saison Diego', 'Saison', '12', '4.5', 'California')
('Green Flash Trippel', 'Belgian Tripel', '22', '9.7', 'California')
('Green Flash West Coast IPA', 'IPA', '12', '7.0', 'California')
('Hornsby''s Crisp Apple Cider', 'Cider', '12', '5.5', 'California')
('Julian Hard Cider', 'Cider', '22', '6.9', 'California')
('Lagunitas Censored', 'Amber / Red Ale', '12', '5.8', 'California')
('Lagunitas DayTime: A Fractional IPA', 'IPA', '12', '4.9', 'California')
('Lagunitas Dogtown Pale Ale', 'Pale Ale', '12', '5.7', 'California')
('Lagunitas Hop Stoopid', 'Imperial / Double IPA', '22', '8.2', 'California')
('Lagunitas IPA', 'IPA', '12', '5.7', 'California')
('Lagunitas Little Sumpin Sumpin', 'Wheat', '12', '7.3', 'California')
('Lagunitas Maximus', 'Imperial / Double IPA', '12', '8.2', 'California')
('Lagunitas Pils', 'Pilsner', '12', '5.2', 'California')
('Left Coast Hop Juice', 'Imperial / Double IPA', '12', '9.7', 'California')
('Lost Abbey Avant Garde', 'Bière de Garde', '25', '7.0', 'California')
('Lost Abbey Carnevale Ale', 'Saison', '25', '6.5', 'California')
('Lost Abbey Deliverance', 'Imperial Stout', '12', '12.5', 'California')
('Lost Abbey Devotion', 'Belgian Strong Pale Ale', '25', '6.3', 'California')
('Lost Abbey Lost and Found', 'Belgian Dubbel', '25', '8.0', 'California')
('Lost Abbey Red Barn', 'Saison', '25', '6.7', 'California')
('Lost Abbey Saison Blanc', 'Saison', '12', '5.4', 'California')
('Lost Abbey Witch''s Wit', 'White Wheat', '22', '4.5', 'California')
('Lost Coast 8 Ball Stout', 'Stout', '12', '5.8', 'California')
('Lost Coast Alleycat Amber', 'Amber / Red Ale', '12', '6.0', 'California')
('Lost Coast Downtown Brown', 'Brown Ale', '12', '5.0', 'California')
('Lost Coast Great White', 'White Wheat', '12', '4.8', 'California')
('Lost Coast Indica', 'IPA', '12', '5.1', 'California')
('Lost Coast Tangerine Wheat', 'Wheat', '12', '5.0', 'California')
('Mad River Jamaica Red Ale', 'Amber / Red Ale', '12', '6.7', 'California')
('Mad River Steelhead Double IPA', 'Imperial / Double IPA', '12', '8.6', 'California')
('Mad River Steelhead Scotch Porter', 'Porter', '12', '6.5', 'California')
('Mendocino Black Hawk Stout', 'Stout', '12', '5.2', 'California')
('Mendocino Black IPA Dark India', 'Pale Ale', '12', '6.0', 'California')
('Mendocino Eye of the Hawk', 'Strong Ale', '12', '8.0', 'California')
('Mendocino Imperial Stout', 'Imperial Stout', '12', '10.0', 'California')
('Mendocino Red Tail Ale', 'Amber / Red Ale', '12', '6.1', 'California')
('Mendocino White Hawk', 'IPA', '12', '7.0', 'California')
('Mission Blonde', 'Kölsch', '12', '5.0', 'California')
('Mission Dark Seas', 'Imperial Stout', '22', '9.8', 'California')
('Mission IPA', 'IPA', '22', '6.8', 'California')
('Mission Shipwrecked Double IPA', 'Imperial / Double IPA', '12', '9.3', 'California')
('Napa Smith Amber Ale', 'Amber / Red Ale', '12', '5.7', 'California')
('Napa Smith Lost Dog Red Ale', 'Amber / Red Ale', '12', '7.2', 'California')
('Napa Smith Organic IPA', 'IPA', '12', '7.1', 'California')
('Napa Smith Pale Ale', 'Pale Ale', '12', '5.2', 'California')
('Napa Smith Wheat Beer', 'Wheat', '12', '4.6', 'California')
('Nectar Ales Nectar IPA', 'IPA', '12', '6.7', 'California')
('Nectar Ales Red Ale', 'Amber / Red Ale', '12', '5.4', 'California')
('North Coast Acme IPA', 'IPA', '12', '6.5', 'California')
('North Coast Acme Pale Ale', 'Pale Ale', '12', '5.0', 'California')
('North Coast Blue Star', 'Wheat', '12', '4.4', 'California')
('North Coast Brother Thelonious', 'Belgian Strong Dark Ale', '12', '9.0', 'California')
('North Coast Old No. 38 Stout', 'Stout', '12', '5.5', 'California')
('North Coast Old Rasputin Russian Imp.', 'Imperial Stout', '12', '9.0', 'California')
('North Coast Pranqster', 'Belgian Golden', '12', '7.5', 'California')
('North Coast Red Seal', 'Pale Ale', '12', '6.0', 'California')
('North Coast Scrimshaw Pilsner', 'Pilsner', '12', '4.3', 'California')
('Ovila Abbey Quad Ale with Plums', 'Belgian Quad', '12', '10.2', 'California')
('Ovila Abbey Saison with Mandarins', 'Saison', '12', '7.5', 'California')
('Port Brewing Board Meeting Imperial', 'Brown Ale', '22', '8.5', 'California')
('Port Brewing High Tide Fresh Hop', 'IPA', '22', '6.5', 'California')
('Port Brewing Mongo', 'Imperial / Double IPA', '22', '8.5', 'California')
('Port Brewing Older Viscosity', 'Imperial Stout', '12', '12.0', 'California')
('Port Brewing Shark Attack', 'Imperial Amber/Red Ale', '22', '9.5', 'California')
('Port Brewing Wipeout IPA', 'IPA', '22', '7.0', 'California')
('Sierra Nevada Bigfoot', 'Barleywine', '12', '9.6', 'California')
